date,description,amount,forex_ref
2025-10-18,"UBER *TRIP HELP.UBER.C, 8005928996 [USD 5.97]",-526.21,USD 5.97
2025-10-19,"LYFT *1 RIDE 10-18, SAN FRANCISCO [USD 3.97]",-349.92,USD 3.97
2025-10-19,"APPLEBEES 7675 - POS, ORLANDO [USD 30.33]",-2673.35,USD 30.33
2025-10-20,"UBER *TRIP HELP.UBER.C, 8005928996 [USD 26.93]",-2373.66,USD 26.93
2025-10-21,"UBER *TRIP HELP.UBER.C, 8005928996 [USD 97.42]",-8572.67,USD 97.42
2025-03-26,"COCO INDIRA NAGAR, CHENNAI",-511.8,
2025-03-28,Surcharge waiver for fuel txn,5.0,
2025-03-29,BillDesk BBPS CC Payment/DP115088210532RfhkhV,83359.44,
2025-03-29,"PPSL*SWIGGY LIMITED, Bangalore",-772.0,
2025-03-29,"HATHWAY SELFCARE, MUMBAI",-11151.0,
2025-03-29,"Swiggy IN, Bangalore",-432.0,
2025-04-01,"Razorpay*Swiggy Limite, Bengaluru",-771.0,
2025-04-04,"PPSL*SWIGGY LIMITED, Bangalore",-684.0,
2025-04-04,"OPENAI, SAN FRANCISCO [USD 10.00]",-854.59,USD 10.00
2025-04-10,"ATLASSIAN, AMSTERDAM [USD 331.82]",-28633.08,USD 331.82
2025-04-12,"COCO INDIRA NAGAR, CHENNAI",-505.9,
2025-04-14,Surcharge waiver for fuel txn,5.0,
2025-04-14,"MICROSOFTBUS, MUMBAI",-51971.56,
2025-04-14,"AMAZONAWSESC, MUMBAI",-40513.05,
2025-04-16,"IND*LINKEDIN, http://www.li",-2.0,
2025-04-20,"IND*LINKEDIN, http://www.li",2.0,
2025-07-25,"ATO*Sri Devi Petrol St, CHENNAI",-615.0,
2025-07-26,"APPLE INDIA PRIVATE LI, MUMBAI",-10900.0,
2025-07-28,BillDesk BBPS CC Payment/IF035209BAIAAAADUVRQ,289994.05,
2025-07-28,"GITHUB, INC., SAN FRANCISCO [USD 0.64]",-55.52,USD 0.64
2025-07-29,"ZEPTO MARKETPLACE PRIV, BANGALORE",-1.0,
2025-07-29,"ZEPTO MARKETPLACE PRIV, BANGALORE",-141.99,
2025-07-29,"RATNA CAFE, CHENNAI",-667.0,
2025-07-30,Surcharge waiver for fuel txn,6.0,
2025-07-30,"ZOHO CORPORATION PR, TIRUNELVELI",-11328.0,
2025-07-31,"HYPERBROWSER.AI, SAN FRANCISCO [USD 30.00]",-2635.56,USD 30.00
2025-07-31,"SANGEETHA VEG, CHENNAI",-378.0,
2025-08-03,"GOOGLECLOUD, MUMBAI",-947.35,
2025-08-04,"SUPABASE, SINGAPORE [USD 25.00]",-2184.58,USD 25.00
2025-08-06,"GOOGLEWORKSP, MUMBAI",-2.0,
2025-08-06,"GOOGLEWORKSP, MUMBAI",-11659.34,
2025-08-08,"GEARS, CHENNAI",-2059.0,
2025-08-08,"GOOGLEWORKSP, MUMBAI",-564.17,
2025-08-08,"RAZ*TATA AIG GENERAL I, Mumbai",-10433.0,
2025-08-09,"MACFOS LIMITED, MUMBAI",-29999.0,
2025-08-09,"GITHUB, INC., SAN FRANCISCO [USD 161.54]",-14143.96,USD 161.54
2025-08-10,"IND*LINKEDIN (PGSI), www.linkedin.",-8400.0,
2025-08-11,"MICROSOFTBUS, MUMBAI",-61169.3,
2025-08-11,"GOOGLECLOUD, MUMBAI",-2.0,
2025-08-12,"HOT BREADS, CHENNAI",-1749.0,
2025-08-12,"ATLASSIAN, AMSTERDAM [USD 391.04]",-34325.58,USD 391.04
2025-08-12,"GROQ INC, MOUNTAIN VIEW [USD 1.02]",-89.39,USD 1.02
2025-08-12,"ZOHO CORPORATION PR, TIRUNELVELI",-2170.03,
2025-08-15,"GOOGLEWORKSP, MUMBAI",2.0,
2025-08-15,"MICROSOFTBUS, MUMBAI",-29141.05,
2025-08-16,"CUSTCAP SOLUTIONS PRIV, MUMBAI",-22855.0,
2025-08-18,"COCO INDIRA NAGAR, CHENNAI",-607.08,
2025-08-18,"RSP*TATA AIG GENERAL I, MUMBAI",-127858.5,
2025-08-19,"IND*LINKEDIN (PGSI), www.linkedin.",-7058.0,
2025-08-19,"RELIANCEJIO, MUMBAI",-195.0,
2025-08-20,"GOOGLECLOUD, MUMBAI",2.0,
2025-08-20,Surcharge waiver for fuel txn,6.0,
2025-08-20,"RAZ*TATA AIG GENERAL I, Mumbai",-8906.0,
2025-11-21,"GOOGLEWORKSP, MUMBAI",-12223.85,
2025-11-28,BillDesk BBPS CC Payment/IF035332BAJAAAAEG5N3,620822.98,
2025-11-28,"KRISHNAMACHARI SRIKKAN, Chennai",-4758.52,
2025-12-01,Surcharge waiver for fuel txn,47.03,
2025-12-01,"HYPERBROWSER.AI, SAN FRANCISCO [USD 30.00]",-2681.16,USD 30.00
2025-12-01,"NRI*NEW RELIC, SAN FRANCISCO [USD 10.00]",-897.39,USD 10.00
2025-12-03,"GOOGLEWORKSP, MUMBAI",-3078.76,
2025-12-03,"HYPERBROWSER.AI, SAN FRANCISCO",-937.95,
2025-12-04,"GOOGLECLOUD, MUMBAI",-27.22,
2025-12-05,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",18004.2,USD 200.00
2025-12-05,"AMAZON PAY INDIA PRIVA, Bangalore",-1183.0,
2025-12-05,"GROQ INC, MOUNTAIN VIEW [USD 1.29]",-116.2,USD 1.29
2025-12-07,"MADURAI SRI BALAJI BHA, VILLUPURAM",-550.0,
2025-12-07,"CHANDRASEKAR HARSHAVAR, TIRUCHIRAPPAL",-4398.54,
2025-12-08,"SANMITH PURE VEGETARIA, CHENNAI",-835.0,
2025-12-10,Surcharge waiver for fuel txn,43.47,
2025-12-10,"KITES, CHEENAI",-1675.0,
2025-12-12,"NETFLIX, MUMBAI",-649.0,
2025-12-14,"GOOGLEPLAY, MUMBAI",-2.0,
2025-12-16,"GOOGLEPLAY, MUMBAI",251.47,
2025-12-16,"AMAZON PAY INDIA PRIVA, Bangalore",-2384.44,
2025-12-16,"AMAZON PAY INDIA PRIVA, Bangalore",-399.0,
2025-12-19,"MICROSOFTBUS, MUMBAI",-30892.4,
2025-12-20,"ZEPTO MARKETPLACE PRIV, Bangalore",-64.0,
2025-12-22,"AMAZON PAY INDIA PRIVA, Bangalore",261.22,
2025-12-21,"HYPERBROWSER.AI, SAN FRANCISCO",-931.19,
2025-12-23,"GOOGLEPLAY, MUMBAI",2.0,
2025-12-23,"SHRI BALAAJEE BHAVAN, KANCHIPURAM",-617.0,
2025-12-26,"HYPERBROWSER.AI, SAN FRANCISCO",-935.25,
2025-12-31,BillDesk BBPS CC Payment/IF035365BAKAAAAENOX0,48884.82,
2026-01-01,"HYPERBROWSER.AI, SAN FRANCISCO [USD 30.00]",-2698.65,USD 30.00
2026-01-01,"GOOGLEWORKSP, MUMBAI",-9169.47,
2026-01-03,"GOOGLECLOUD, MUMBAI",-1054.33,
2026-01-03,"GOOGLECLOUD, MUMBAI",-14.6,
