date,description,amount,forex_ref
2026-02-12,ATLASSIANAMSTERDAM USD 83.51 [USD 83.51],-7579.55,USD 83.51
2025-12-12,CGST-VPS2634726776513-RATE 9.0 -33,-23.92,
2025-12-12,SGST-VPS2634726776513-RATE 9.0 -33,-23.92,
2025-12-20,CGST-VPS2635564564837-RATE 9.0 -33,-45.41,
2025-12-20,SGST-VPS2635564564837-RATE 9.0 -33,-45.41,
2025-12-20,CGST-VPS2635564564841-RATE 9.0 -33,-16.07,
2025-12-20,SGST-VPS2635564564841-RATE 9.0 -33,-16.07,
2025-12-31,BPPY CC PAYMENT IF035365BAKAAAAENOY,15212.0,
2025-12-19,ATLASSIANAMSTERDAM USD 223.07 [USD 223.07],-20180.94,USD 223.07
2025-12-20,ATLASSIANAMSTERDAM USD 79.06 [USD 79.06],-7139.89,USD 79.06
2026-01-12,CONSOLIDATED FCY MARKUP FEE,-827.71,
2026-01-12,ATLASSIANAMSTERDAM USD 64.07 [USD 64.07],-5787.51,USD 64.07
2025-10-24,AMAZON WEB SERVICESMUMBAI,-300039.59,
2025-10-31,ONLINE PYMT RECD-BIDND4M10V7G66,319000.0,
2025-09-21,MICROSOFT INDIAMUMBAI,-2.0,
2025-09-21,MICROSOFT INDIAMUMBAI,2.0,
2025-09-30,CGST-VPS2627420428814-RATE 9.0 -33,-39.96,
2025-09-30,SGST-VPS2627420428814-RATE 9.0 -33,-39.96,
2025-09-30,CLAUDE.AI SUBSCRIPTIONANTHROPIC. USD 200.00 [USD 200.00],-17761.83,USD 200.00
2025-10-12,CONSOLIDATED FCY MARKUP FEE,-444.05,
